Komentar,Case Folding,Remove Number & Remove Punctuation,Tokenizing,Remove Stop Word,Stemming,Perbaikan Kata
kalau mau di vaksin apa harus pcr dulu ya?,kalau mau di vaksin apa harus pcr dulu ya,kalau mau di vaksin apa harus pcr dulu ya,"['kalau', 'mau', 'di', 'vaksin', 'apa', 'harus', 'pcr', 'dulu', 'ya']","['vaksin', 'pcr', 'ya']","['vaksin', 'pcr', 'ya']",vaksin pcr ya
Podo.wae vaksin ora vaksin tetep iso kene korona percumaa,podowae vaksin ora vaksin tetep iso kene korona percumaa,podowae vaksin ora vaksin tetep iso kene korona percumaa,"['podowae', 'vaksin', 'ora', 'vaksin', 'tetep', 'iso', 'kene', 'korona', 'percumaa']","['podowae', 'vaksin', 'ora', 'vaksin', 'tetep', 'iso', 'kene', 'korona', 'percumaa']","['podowae', 'vaksin', 'ora', 'vaksin', 'tetep', 'iso', 'kene', 'korona', 'percumaa']",sama aja vaksin tidak vaksin tetap bisa kena covid percuma
Hari ini istri saya vaksin dosis kedua di stadion pakansari tapi mengapa tidak dapat kartu vaksin? Terima kasih,hari ini istri saya vaksin dosis kedua di stadion pakansari tapi mengapa tidak dapat kartu vaksin terima kasih,hari ini istri saya vaksin dosis kedua di stadion pakansari tapi mengapa tidak dapat kartu vaksin terima kasih,"['hari', 'ini', 'istri', 'saya', 'vaksin', 'dosis', 'kedua', 'di', 'stadion', 'pakansari', 'tapi', 'mengapa', 'tidak', 'dapat', 'kartu', 'vaksin', 'terima', 'kasih']","['istri', 'vaksin', 'dosis', 'stadion', 'pakansari', 'kartu', 'vaksin', 'terima', 'kasih']","['istri', 'vaksin', 'dosis', 'stadion', 'pakansari', 'kartu', 'vaksin', 'terima', 'kasih']",istri vaksin dosis stadion pakansari kartu vaksin terima kasih
"Yang uda di vaksin, dikemudian hari kena KIPI bahkan sampe² ada yang meninggal. "" Siapa Yang Mau Tanggung Jawabbbbb ???? """,yang uda di vaksin dikemudian hari kena kipi bahkan sampe² ada yang meninggal siapa yang mau tanggung jawabbb ,yang uda di vaksin dikemudian hari kena kipi bahkan sampe² ada yang meninggal siapa yang mau tanggung jawab ,"['yang', 'uda', 'di', 'vaksin', 'dikemudian', 'hari', 'kena', 'kipi', 'bahkan', 'sampe²', 'ada', 'yang', 'meninggal', 'siapa', 'yang', 'mau', 'tanggung', 'jawab']","['uda', 'vaksin', 'dikemudian', 'kena', 'kipi', 'sampe²', 'meninggal', 'tanggung']","['uda', 'vaksin', 'kemudi', 'kena', 'kipi', 'sampe', 'tinggal', 'tanggung']",udah vaksin kemudian kena kipi sampai tinggal tanggung
"@kemenkes_ri , saya melakukan registrasi vaksin tetapi saat input nik muncul nama yg berbeda, saya sudah lapor ke dukcapil dan BPJS tetapi di instansi tersebut sudah sesuai, solusinya gmana ya?", saya melakukan registrasi vaksin tetapi saat input nik muncul nama yg berbeda saya sudah lapor ke dukcapil dan bpjs tetapi di instansi tersebut sudah sesuai solusinya gmana ya, saya melakukan registrasi vaksin tetapi saat input nik muncul nama yg berbeda saya sudah lapor ke dukcapil dan bpjs tetapi di instansi tersebut sudah sesuai solusinya gmana ya,"['saya', 'melakukan', 'registrasi', 'vaksin', 'tetapi', 'saat', 'input', 'nik', 'muncul', 'nama', 'yg', 'berbeda', 'saya', 'sudah', 'lapor', 'ke', 'dukcapil', 'dan', 'bpjs', 'tetapi', 'di', 'instansi', 'tersebut', 'sudah', 'sesuai', 'solusinya', 'gmana', 'ya']","['registrasi', 'vaksin', 'input', 'nik', 'muncul', 'nama', 'yg', 'berbeda', 'lapor', 'dukcapil', 'bpjs', 'instansi', 'sesuai', 'solusinya', 'gmana', 'ya']","['registrasi', 'vaksin', 'input', 'nik', 'muncul', 'nama', 'yg', 'beda', 'lapor', 'dukcapil', 'bpjs', 'instansi', 'sesuai', 'solusi', 'gmana', 'ya']",registrasi vaksin input nik muncul nama yang beda lapor dukcapil bpjs instansi sesuai solusi bagaimana ya
"Mohon dgn sangat @kemenkes_ri memperbaiki tatacara pemberian vaksin. Karena banyak ketidakjelasan dan ketidakpastian di masyarakat. Sebetulnya masyarakat sangat antusias utk divaksin, namun apa daya mau daptar sj susah, masih harus daptar manual yg justru menimbulkan kerumunan dan resiko penyebaran birus. Di jaman serba digital tidak susah bg pemerintah utk mengaturnya, supaya masyarakat terlayani dgn baik dan adil, sehingga pemberian vaksin bisa maksimal. Juga perlu kiranya koordinasi yg baik antara pemerintah pusat dan daerah. PPKM menjadi momentum utk menekan laju penyebaran Covid-19.",mohon dgn sangat memperbaiki tatacara pemberian vaksin karena banyak ketidakjelasan dan ketidakpastian di masyarakat sebetulnya masyarakat sangat antusias utk divaksin namun apa daya mau daptar sj susah masih harus daptar manual yg justru menimbulkan kerumunan dan resiko penyebaran birus di jaman serba digital tidak susah bg pemerintah utk mengaturnya supaya masyarakat terlayani dgn baik dan adil sehingga pemberian vaksin bisa maksimal juga perlu kiranya koordinasi yg baik antara pemerintah pusat dan daerah ppkm menjadi momentum utk menekan laju penyebaran covid,mohon dgn sangat memperbaiki tatacara pemberian vaksin karena banyak ketidakjelasan dan ketidakpastian di masyarakat sebetulnya masyarakat sangat antusias utk divaksin namun apa daya mau daptar sj susah masih harus daptar manual yg justru menimbulkan kerumunan dan resiko penyebaran birus di jaman serba digital tidak susah bg pemerintah utk mengaturnya supaya masyarakat terlayani dgn baik dan adil sehingga pemberian vaksin bisa maksimal juga perlu kiranya koordinasi yg baik antara pemerintah pusat dan daerah ppkm menjadi momentum utk menekan laju penyebaran covid,"['mohon', 'dgn', 'sangat', 'memperbaiki', 'tatacara', 'pemberian', 'vaksin', 'karena', 'banyak', 'ketidakjelasan', 'dan', 'ketidakpastian', 'di', 'masyarakat', 'sebetulnya', 'masyarakat', 'sangat', 'antusias', 'utk', 'divaksin', 'namun', 'apa', 'daya', 'mau', 'daptar', 'sj', 'susah', 'masih', 'harus', 'daptar', 'manual', 'yg', 'justru', 'menimbulkan', 'kerumunan', 'dan', 'resiko', 'penyebaran', 'birus', 'di', 'jaman', 'serba', 'digital', 'tidak', 'susah', 'bg', 'pemerintah', 'utk', 'mengaturnya', 'supaya', 'masyarakat', 'terlayani', 'dgn', 'baik', 'dan', 'adil', 'sehingga', 'pemberian', 'vaksin', 'bisa', 'maksimal', 'juga', 'perlu', 'kiranya', 'koordinasi', 'yg', 'baik', 'antara', 'pemerintah', 'pusat', 'dan', 'daerah', 'ppkm', 'menjadi', 'momentum', 'utk', 'menekan', 'laju', 'penyebaran', 'covid']","['mohon', 'dgn', 'memperbaiki', 'tatacara', 'pemberian', 'vaksin', 'ketidakjelasan', 'ketidakpastian', 'masyarakat', 'masyarakat', 'antusias', 'utk', 'divaksin', 'daya', 'daptar', 'sj', 'susah', 'daptar', 'manual', 'yg', 'menimbulkan', 'kerumunan', 'resiko', 'penyebaran', 'birus', 'jaman', 'serba', 'digital', 'susah', 'bg', 'pemerintah', 'utk', 'mengaturnya', 'masyarakat', 'terlayani', 'dgn', 'adil', 'pemberian', 'vaksin', 'maksimal', 'koordinasi', 'yg', 'pemerintah', 'pusat', 'daerah', 'ppkm', 'momentum', 'utk', 'menekan', 'laju', 'penyebaran', 'covid']","['mohon', 'dgn', 'baik', 'tatacara', 'beri', 'vaksin', 'ketidakjelasan', 'ketidakpastian', 'masyarakat', 'masyarakat', 'antusias', 'utk', 'vaksin', 'daya', 'daptar', 'sj', 'susah', 'daptar', 'manual', 'yg', 'timbul', 'kerumun', 'resiko', 'sebar', 'birus', 'jaman', 'serba', 'digital', 'susah', 'bg', 'perintah', 'utk', 'atur', 'masyarakat', 'layan', 'dgn', 'adil', 'beri', 'vaksin', 'maksimal', 'koordinasi', 'yg', 'perintah', 'pusat', 'daerah', 'ppkm', 'momentum', 'utk', 'tekan', 'laju', 'sebar', 'covid']",mohon dengan baik tata cara beri vaksin tidak jelas tidak pasti masyarakat masyarakat antusias untuk vaksin daya daftar saja susah daftar manual yang timbul kerumun risiko sebar virus zaman serba digital susah bagi perintah untuk atur masyarakat layan dengan adil beri vaksin maksimal koordinasi yang perintah pusat daerah ppkm momentum untuk tekan laju sebar covid
Gak rata vaksinnya.,gak rata vaksinnya,gak rata vaksinnya,"['gak', 'rata', 'vaksinnya']","['gak', 'vaksinnya']","['gak', 'vaksin']",tidak vaksin
Belum ada info vaksin..pas ada info vaksin malah menimbulkan kerumunan..gmn ini min.?,belum ada info vaksinpas ada info vaksin malah menimbulkan kerumunangmn ini min,belum ada info vaksinpas ada info vaksin malah menimbulkan kerumunangmn ini min,"['belum', 'ada', 'info', 'vaksinpas', 'ada', 'info', 'vaksin', 'malah', 'menimbulkan', 'kerumunangmn', 'ini', 'min']","['info', 'vaksinpas', 'info', 'vaksin', 'menimbulkan', 'kerumunangmn', 'min']","['info', 'vaksinpas', 'info', 'vaksin', 'timbul', 'kerumunangmn', 'min']",informasi vaksin pas informasi vaksin timbul kerumun bagaimana admin
"@kemenkes_ri saya tinggal di daerah depok, mau divaksin aja susah bener nyari tempat, sesekali kuota di puskesmas, itupun kuota 400 orang khusus lansia, berita wajib vaksin, harus vaksin, dipaksa vaksin, tapi kita yang mau divaksin susah mendapatkan kuota, saya tinggal di serua bojongsari depok. Termasuk daerah ketat protokol kesehatan Covid-19. Di daerah khususnya jawatengah informasinteman saja dimana mana menawarkan vaksin.. dengan mudahnya, kita di kota termasuk jabodetabek.. saya di sini susah mendapatkan vaksin.", saya tinggal di daerah depok mau divaksin aja susah bener nyari tempat sesekali kuota di puskesmas itupun kuota orang khusus lansia berita wajib vaksin harus vaksin dipaksa vaksin tapi kita yang mau divaksin susah mendapatkan kuota saya tinggal di serua bojongsari depok termasuk daerah ketat protokol kesehatan covid di daerah khususnya jawatengah informasinteman saja dimana mana menawarkan vaksin dengan mudahnya kita di kota termasuk jabodetabek saya di sini susah mendapatkan vaksin, saya tinggal di daerah depok mau divaksin aja susah bener nyari tempat sesekali kuota di puskesmas itupun kuota orang khusus lansia berita wajib vaksin harus vaksin dipaksa vaksin tapi kita yang mau divaksin susah mendapatkan kuota saya tinggal di serua bojongsari depok termasuk daerah ketat protokol kesehatan covid di daerah khususnya jawatengah informasinteman saja dimana mana menawarkan vaksin dengan mudahnya kita di kota termasuk jabodetabek saya di sini susah mendapatkan vaksin,"['saya', 'tinggal', 'di', 'daerah', 'depok', 'mau', 'divaksin', 'aja', 'susah', 'bener', 'nyari', 'tempat', 'sesekali', 'kuota', 'di', 'puskesmas', 'itupun', 'kuota', 'orang', 'khusus', 'lansia', 'berita', 'wajib', 'vaksin', 'harus', 'vaksin', 'dipaksa', 'vaksin', 'tapi', 'kita', 'yang', 'mau', 'divaksin', 'susah', 'mendapatkan', 'kuota', 'saya', 'tinggal', 'di', 'serua', 'bojongsari', 'depok', 'termasuk', 'daerah', 'ketat', 'protokol', 'kesehatan', 'covid', 'di', 'daerah', 'khususnya', 'jawatengah', 'informasinteman', 'saja', 'dimana', 'mana', 'menawarkan', 'vaksin', 'dengan', 'mudahnya', 'kita', 'di', 'kota', 'termasuk', 'jabodetabek', 'saya', 'di', 'sini', 'susah', 'mendapatkan', 'vaksin']","['tinggal', 'daerah', 'depok', 'divaksin', 'aja', 'susah', 'bener', 'nyari', 'kuota', 'puskesmas', 'itupun', 'kuota', 'orang', 'khusus', 'lansia', 'berita', 'wajib', 'vaksin', 'vaksin', 'dipaksa', 'vaksin', 'divaksin', 'susah', 'kuota', 'tinggal', 'serua', 'bojongsari', 'depok', 'daerah', 'ketat', 'protokol', 'kesehatan', 'covid', 'daerah', 'jawatengah', 'informasinteman', 'dimana', 'menawarkan', 'vaksin', 'mudahnya', 'kota', 'jabodetabek', 'susah', 'vaksin']","['tinggal', 'daerah', 'depok', 'vaksin', 'aja', 'susah', 'bener', 'nyari', 'kuota', 'puskesmas', 'itu', 'kuota', 'orang', 'khusus', 'lansia', 'berita', 'wajib', 'vaksin', 'vaksin', 'paksa', 'vaksin', 'vaksin', 'susah', 'kuota', 'tinggal', 'rua', 'bojongsari', 'depok', 'daerah', 'ketat', 'protokol', 'sehat', 'covid', 'daerah', 'jawatengah', 'informasinteman', 'mana', 'tawar', 'vaksin', 'mudah', 'kota', 'jabodetabek', 'susah', 'vaksin']",tinggal daerah depok vaksin aja susah benar cari kuota puskesmas itu kuota orang khusus lansia berita wajib vaksin vaksin paksa vaksin vaksin susah kuota tinggal rua bojongsari depok daerah ketat protokol sehat covid daerah jawa tengah informasi teman mana tawar vaksin mudah kota jabodetabek susah vaksin
Kalo saya masalah vaksin nunggu dokter rawat jalan sayanya boleh atau enggak divaksin.,kalo saya masalah vaksin nunggu dokter rawat jalan sayanya boleh atau enggak divaksin,kalo saya masalah vaksin nunggu dokter rawat jalan sayanya boleh atau enggak divaksin,"['kalo', 'saya', 'masalah', 'vaksin', 'nunggu', 'dokter', 'rawat', 'jalan', 'sayanya', 'boleh', 'atau', 'enggak', 'divaksin']","['kalo', 'vaksin', 'nunggu', 'dokter', 'rawat', 'jalan', 'sayanya', 'divaksin']","['kalo', 'vaksin', 'nunggu', 'dokter', 'rawat', 'jalan', 'saya', 'vaksin']",kalau vaksin tunggu dokter rawat jalan saya vaksin
"Akses vaksin masih kurang,aplg skrg mjd syarat perjalanan....",akses vaksin masih kurangaplg skrg mjd syarat perjalanan,akses vaksin masih kurangaplg skrg mjd syarat perjalanan,"['akses', 'vaksin', 'masih', 'kurangaplg', 'skrg', 'mjd', 'syarat', 'perjalanan']","['akses', 'vaksin', 'kurangaplg', 'skrg', 'mjd', 'syarat', 'perjalanan']","['akses', 'vaksin', 'kurangaplg', 'skrg', 'mjd', 'syarat', 'jalan']",akses vaksin kurang apalagi sekarang jadi syarat jalan
"Kapan dong vaksin Nusantara keluar. Kenapa harus trus menggunakan vaksin dari luar mana sekarang diharuskan pula apalagi kalau mau naik pesawat. Kemaren di berita di tv ada beberapa pejabat pemerintah yg jadi relawan vaksin nusantara, trus gmn berita selanjutnya... kpn bpom setujui vaksin milik negara sendiri? Apa nunggu habis orderan vaksin dari luar? Boleh dong saya g vaksin sekarang nunggu vaksin nusantara saja. Insya allah sambil menunggu saya selalu diberikan kesehatan yah amin ??",kapan dong vaksin nusantara keluar kenapa harus trus menggunakan vaksin dari luar mana sekarang diharuskan pula apalagi kalau mau naik pesawat kemaren di berita di tv ada beberapa pejabat pemerintah yg jadi relawan vaksin nusantara trus gmn berita selanjutnya kpn bpom setujui vaksin milik negara sendiri apa nunggu habis orderan vaksin dari luar boleh dong saya g vaksin sekarang nunggu vaksin nusantara saja insya allah sambil menunggu saya selalu diberikan kesehatan yah amin ,kapan dong vaksin nusantara keluar kenapa harus trus menggunakan vaksin dari luar mana sekarang diharuskan pula apalagi kalau mau naik pesawat kemaren di berita di tv ada beberapa pejabat pemerintah yg jadi relawan vaksin nusantara trus gmn berita selanjutnya kpn bpom setujui vaksin milik negara sendiri apa nunggu habis orderan vaksin dari luar boleh dong saya g vaksin sekarang nunggu vaksin nusantara saja insya allah sambil menunggu saya selalu diberikan kesehatan yah amin ,"['kapan', 'dong', 'vaksin', 'nusantara', 'keluar', 'kenapa', 'harus', 'trus', 'menggunakan', 'vaksin', 'dari', 'luar', 'mana', 'sekarang', 'diharuskan', 'pula', 'apalagi', 'kalau', 'mau', 'naik', 'pesawat', 'kemaren', 'di', 'berita', 'di', 'tv', 'ada', 'beberapa', 'pejabat', 'pemerintah', 'yg', 'jadi', 'relawan', 'vaksin', 'nusantara', 'trus', 'gmn', 'berita', 'selanjutnya', 'kpn', 'bpom', 'setujui', 'vaksin', 'milik', 'negara', 'sendiri', 'apa', 'nunggu', 'habis', 'orderan', 'vaksin', 'dari', 'luar', 'boleh', 'dong', 'saya', 'g', 'vaksin', 'sekarang', 'nunggu', 'vaksin', 'nusantara', 'saja', 'insya', 'allah', 'sambil', 'menunggu', 'saya', 'selalu', 'diberikan', 'kesehatan', 'yah', 'amin']","['vaksin', 'nusantara', 'trus', 'vaksin', 'diharuskan', 'pesawat', 'kemaren', 'berita', 'tv', 'pejabat', 'pemerintah', 'yg', 'relawan', 'vaksin', 'nusantara', 'trus', 'gmn', 'berita', 'kpn', 'bpom', 'setujui', 'vaksin', 'milik', 'negara', 'nunggu', 'habis', 'orderan', 'vaksin', 'g', 'vaksin', 'nunggu', 'vaksin', 'nusantara', 'insya', 'allah', 'menunggu', 'kesehatan', 'yah', 'amin']","['vaksin', 'nusantara', 'trus', 'vaksin', 'harus', 'pesawat', 'kemaren', 'berita', 'tv', 'jabat', 'perintah', 'yg', 'rawan', 'vaksin', 'nusantara', 'trus', 'gmn', 'berita', 'kpn', 'bpom', 'tuju', 'vaksin', 'milik', 'negara', 'nunggu', 'habis', 'order', 'vaksin', 'g', 'vaksin', 'nunggu', 'vaksin', 'nusantara', 'insya', 'allah', 'tunggu', 'sehat', 'yah', 'amin']",vaksin nusantara terus vaksin harus pesawat kemarin berita tv jabat perintah yang rawan vaksin nusantara terus bagaimana berita kapan bpom tuju vaksin milik negara tunggu habis order vaksin tidak vaksin tunggu vaksin nusantara insya allah tunggu sehat ya amin
Saya Vaksin pertama 2 hari lalu. Katanya  nanti bakal dapat SMS. tapi sampai skrg SMS nya gk ada.,saya vaksin pertama hari lalu katanya nanti bakal dapat sms tapi sampai skrg sms nya gk ada,saya vaksin pertama hari lalu katanya nanti bakal dapat sms tapi sampai skrg sms nya gk ada,"['saya', 'vaksin', 'pertama', 'hari', 'lalu', 'katanya', 'nanti', 'bakal', 'dapat', 'sms', 'tapi', 'sampai', 'skrg', 'sms', 'nya', 'gk', 'ada']","['vaksin', 'sms', 'skrg', 'sms', 'nya', 'gk']","['vaksin', 'sms', 'skrg', 'sms', 'nya', 'gk']",vaksin sms sekarang sms nya tidak
Vaksin anak usia 3 thn apakah akan diperbolehkan di indonesia?,vaksin anak usia thn apakah akan diperbolehkan di indonesia,vaksin anak usia thn apakah akan diperbolehkan di indonesia,"['vaksin', 'anak', 'usia', 'thn', 'apakah', 'akan', 'diperbolehkan', 'di', 'indonesia']","['vaksin', 'anak', 'usia', 'thn', 'diperbolehkan', 'indonesia']","['vaksin', 'anak', 'usia', 'thn', 'boleh', 'indonesia']",vaksin anak usia tahun boleh indonesia
Udah vaksin 2kali tapi sertifikat gk keluar semua????,udah vaksin kali tapi sertifikat gk keluar semua,udah vaksin kali tapi sertifikat gk keluar semua,"['udah', 'vaksin', 'kali', 'tapi', 'sertifikat', 'gk', 'keluar', 'semua']","['udah', 'vaksin', 'kali', 'sertifikat', 'gk']","['udah', 'vaksin', 'kali', 'sertifikat', 'gk']",sudah vaksin kali sertifikat tidak
Hallloooo.... Kenapa hotline service 119 ext 9 ga bisa diakses? Perihal sertifikat vaksin gimana nih? @kemenkes_ri,haloo kenapa hotline service ext ga bisa diakses perihal sertifikat vaksin gimana nih ,haloo kenapa hotline service ext ga bisa diakses perihal sertifikat vaksin gimana nih ,"['haloo', 'kenapa', 'hotline', 'service', 'ext', 'ga', 'bisa', 'diakses', 'perihal', 'sertifikat', 'vaksin', 'gimana', 'nih']","['haloo', 'hotline', 'service', 'ext', 'ga', 'diakses', 'perihal', 'sertifikat', 'vaksin', 'gimana', 'nih']","['haloo', 'hotline', 'service', 'ext', 'ga', 'akses', 'perihal', 'sertifikat', 'vaksin', 'gimana', 'nih']",halo hotline service ext tidak akses perihal sertifikat vaksin bagaimana ini
Beritanya sudah sampai vaksinasi tahap ke dua...sedangkan saya sampai saat ini saja belum terdata dan belum mendapat informasi serta referensi undangan untuk vaksinasi tahap I melalui media apapun termasuk SMS dan Whatsapp. Ini yang mendata kinerjanya kompenten atau tidak?,beritanya sudah sampai vaksinasi tahap ke duasedangkan saya sampai saat ini saja belum terdata dan belum mendapat informasi serta referensi undangan untuk vaksinasi tahap i melalui media apapun termasuk sms dan whatsapp ini yang mendata kinerjanya kompenten atau tidak,beritanya sudah sampai vaksinasi tahap ke duasedangkan saya sampai saat ini saja belum terdata dan belum mendapat informasi serta referensi undangan untuk vaksinasi tahap i melalui media apapun termasuk sms dan whatsapp ini yang mendata kinerjanya kompenten atau tidak,"['beritanya', 'sudah', 'sampai', 'vaksinasi', 'tahap', 'ke', 'duasedangkan', 'saya', 'sampai', 'saat', 'ini', 'saja', 'belum', 'terdata', 'dan', 'belum', 'mendapat', 'informasi', 'serta', 'referensi', 'undangan', 'untuk', 'vaksinasi', 'tahap', 'i', 'melalui', 'media', 'apapun', 'termasuk', 'sms', 'dan', 'whatsapp', 'ini', 'yang', 'mendata', 'kinerjanya', 'kompenten', 'atau', 'tidak']","['beritanya', 'vaksinasi', 'tahap', 'duasedangkan', 'terdata', 'informasi', 'referensi', 'undangan', 'vaksinasi', 'tahap', 'i', 'media', 'apapun', 'sms', 'whatsapp', 'mendata', 'kinerjanya', 'kompenten']","['berita', 'vaksinasi', 'tahap', 'duasedangkan', 'data', 'informasi', 'referensi', 'undang', 'vaksinasi', 'tahap', 'i', 'media', 'apa', 'sms', 'whatsapp', 'data', 'kerja', 'kompenten']",berita vaksinasi tahap dua sedang data informasi referensi undang vaksinasi tahap i media apa sms whatsapp data kerja kompeten
"@kemenkes_ri selamat pagi… bagaimana cara membatalkan kepesertaan individu di vaksinasi gotong royong?ada anggota klrg yg ingin batal ikut gotong royong, krn tidak ada kejelasan kpn nya, dia ingin ikut vaksinasi di puskesmas tp ditolak trs oleh system krn namanya sdh masuk VGR. Makasih.", selamat pagi bagaimana cara membatalkan kepesertaan individu di vaksinasi gotong royongada anggota klrg yg ingin batal ikut gotong royong krn tidak ada kejelasan kpn nya dia ingin ikut vaksinasi di puskesmas tp ditolak trs oleh system krn namanya sdh masuk vgr makasih, selamat pagi bagaimana cara membatalkan kepesertaan individu di vaksinasi gotong royongada anggota klrg yg ingin batal ikut gotong royong krn tidak ada kejelasan kpn nya dia ingin ikut vaksinasi di puskesmas tp ditolak trs oleh system krn namanya sdh masuk vgr makasih,"['selamat', 'pagi', 'bagaimana', 'cara', 'membatalkan', 'kepesertaan', 'individu', 'di', 'vaksinasi', 'gotong', 'royongada', 'anggota', 'klrg', 'yg', 'ingin', 'batal', 'ikut', 'gotong', 'royong', 'krn', 'tidak', 'ada', 'kejelasan', 'kpn', 'nya', 'dia', 'ingin', 'ikut', 'vaksinasi', 'di', 'puskesmas', 'tp', 'ditolak', 'trs', 'oleh', 'system', 'krn', 'namanya', 'sdh', 'masuk', 'vgr', 'makasih']","['selamat', 'pagi', 'membatalkan', 'kepesertaan', 'individu', 'vaksinasi', 'gotong', 'royongada', 'anggota', 'klrg', 'yg', 'batal', 'gotong', 'royong', 'krn', 'kejelasan', 'kpn', 'nya', 'vaksinasi', 'puskesmas', 'tp', 'ditolak', 'trs', 'system', 'krn', 'namanya', 'sdh', 'masuk', 'vgr', 'makasih']","['selamat', 'pagi', 'batal', 'serta', 'individu', 'vaksinasi', 'gotong', 'royongada', 'anggota', 'klrg', 'yg', 'batal', 'gotong', 'royong', 'krn', 'jelas', 'kpn', 'nya', 'vaksinasi', 'puskesmas', 'tp', 'tolak', 'trs', 'system', 'krn', 'nama', 'sdh', 'masuk', 'vgr', 'makasih']",selamat pagi batal serta individu vaksinasi gotong royong ada anggota keluarga yang batal gotong royong karena jelas kapan nya vaksinasi puskesmas tapi tolak terus sistem karena nama sudah masuk vaksin gotong royong terima kasih
Info tempat vaksin di kendal/semarang yang tanpa domisili @kemenkes_ri,info tempat vaksin di kendalsemarang yang tanpa domisili ,info tempat vaksin di kendalsemarang yang tanpa domisili ,"['info', 'tempat', 'vaksin', 'di', 'kendalsemarang', 'yang', 'tanpa', 'domisili']","['info', 'vaksin', 'kendalsemarang', 'domisili']","['info', 'vaksin', 'kendalsemarang', 'domisili']",informasi vaksin kendal semarang domisili
Apa guna nya vaksin? Apakah setelah vaksin knpa harus 5M . Padahal di negara lain sudah tak perlu karna alasan sudah di vaksin?,apa guna nya vaksin apakah setelah vaksin knpa harus m padahal di negara lain sudah tak perlu karna alasan sudah di vaksin,apa guna nya vaksin apakah setelah vaksin knpa harus m padahal di negara lain sudah tak perlu karna alasan sudah di vaksin,"['apa', 'guna', 'nya', 'vaksin', 'apakah', 'setelah', 'vaksin', 'knpa', 'harus', 'm', 'padahal', 'di', 'negara', 'lain', 'sudah', 'tak', 'perlu', 'karna', 'alasan', 'sudah', 'di', 'vaksin']","['nya', 'vaksin', 'vaksin', 'knpa', 'm', 'negara', 'karna', 'alasan', 'vaksin']","['nya', 'vaksin', 'vaksin', 'knpa', 'm', 'negara', 'karna', 'alas', 'vaksin']",nya vaksin vaksin kenapa m negara karena alas vaksin
mohon infonya dong vaksin buat daerah malang,mohon infonya dong vaksin buat daerah malang,mohon infonya dong vaksin buat daerah malang,"['mohon', 'infonya', 'dong', 'vaksin', 'buat', 'daerah', 'malang']","['mohon', 'infonya', 'vaksin', 'daerah', 'malang']","['mohon', 'info', 'vaksin', 'daerah', 'malang']",mohon informasi vaksin daerah malang
"selamat malam @kemenkes_ri gimana solusiny sudah vaksin tapi di sertifikat vaksin nama beda satu hurup deng di Ktp, tapi Nik sama.",selamat malam gimana solusiny sudah vaksin tapi di sertifikat vaksin nama beda satu hurup deng di ktp tapi nik sama,selamat malam gimana solusiny sudah vaksin tapi di sertifikat vaksin nama beda satu hurup deng di ktp tapi nik sama,"['selamat', 'malam', 'gimana', 'solusiny', 'sudah', 'vaksin', 'tapi', 'di', 'sertifikat', 'vaksin', 'nama', 'beda', 'satu', 'hurup', 'deng', 'di', 'ktp', 'tapi', 'nik', 'sama']","['selamat', 'malam', 'gimana', 'solusiny', 'vaksin', 'sertifikat', 'vaksin', 'nama', 'beda', 'hurup', 'deng', 'ktp', 'nik']","['selamat', 'malam', 'gimana', 'solusiny', 'vaksin', 'sertifikat', 'vaksin', 'nama', 'beda', 'hurup', 'deng', 'ktp', 'nik']",selamat malam bagaimana solusi vaksin sertifikat vaksin nama beda huruf dengan ktp nik
"Kalo divaksin loh antri dan berkerumun, ntar bisa dijadikan angka kenaikan positive covid wkwkwk",kalo divaksin loh antri dan berkerumun ntar bisa dijadikan angka kenaikan positive covid wkwkwk,kalo divaksin loh antri dan berkerumun ntar bisa dijadikan angka kenaikan positive covid wkwkwk,"['kalo', 'divaksin', 'loh', 'antri', 'dan', 'berkerumun', 'ntar', 'bisa', 'dijadikan', 'angka', 'kenaikan', 'positive', 'covid', 'wkwkwk']","['kalo', 'divaksin', 'loh', 'antri', 'berkerumun', 'ntar', 'dijadikan', 'angka', 'kenaikan', 'positive', 'covid', 'wkwkwk']","['kalo', 'vaksin', 'loh', 'antri', 'kerumun', 'ntar', 'jadi', 'angka', 'naik', 'positive', 'covid', 'wkwkwk']",kalau vaksin lho antri kerumun nanti jadi angka naik positif covid wkwkwk
