Username,Komentar,Label
atasil_cute,Pak mentri .. tolong bantu dipercepat pemberian vaksin untuk anggota aptrindo. Terima kasih,Positif
tituknafisah,"Vaksin 1 (dpt WA dr kemenkes), vaksin 2 ?",Netral
2ji3mp6,@kemenkes_ri  Apakah kalau mau vaksin harus sesuai dengan domisili alamat di KTP? Misalnya saya berada di kota (A) sedangkan alamat KTPnya di kota (B) ????,Positif
justme221b,Klo yg freelance Blum bisa divaksin brarti ya?,Netral
ilchamulbachro,"Mohon bantuannya, saya sudah di vaksinasi tanggal 29 Mei, tapi saya tidak mendapatkan sertifikat vaksinasi, padahal itu sangat penting.",Positif
natatiluva,Min. Minta kepastian nya dong soal vaksin utk ibu hamil. Dulu kan bilangnya ga boleh tuh. Lalu ada kabar katanya studi menyatakan vaksin covid19 udah boleh utk ibu hamil. Sebenernya boleh ga nih?,Netral
tiensal2020,Yg belum bekerja bgmn cara utk vaksinasi ????,Positif
ravendradavid,Mohon info nomer tlp yg bisa memberikan informasi tentang kapan perusahaan kita sudah dapat nomer urutan vaksinasi karena kita sudah daftar tapi belum ada kejelasan informasi. Terima kasih,Positif
midythea,Alhamdulillah saya sudah divaksin baru tdi pagi vaksin yg ke 2.,Positif
dgoldenphoenix,"Assalamu'alaikum. Selamat sore, mohon maaf oot, min. Untuk yang sudah mendapatkan vaksin 1&2, tapi belum mendapatkan SMS berisi link foto sertifikat lapornya kemana ya? Karena P lepas tangan dengan alasan data sudah diinput dan bukan tanggung jawabnya lagi. Kami butuh sertifikatnya sebagai persyaratan pelaksanaan PTM di sekolah.",Positif
dimanpanyol_vanbolelebo,"Gimana dgn kami yg warga biasa, di bekasi sampe saat ini belum ada program vaksinasi warga",Netral
almergo_tube,"alhamdulillah ibu dan mertua saya sudah vaksin, tidak ada keluhan apapun ?? , vaksin adalah pilihan masing masing individu, jd saling menghargai aja, tidak bisa saling memaksakan ?? kalau begini enak kan ??",Positif
fitmen_z,"Setelah di vaksin, tetap harus pakai masker ??",Negatif
ivanty23,Untuk yang kerjanya wiraswasta bagaimana cara mendapatkan vaksin utk dirinya dan keluarga nya ?,Positif
hartadijoss,Bisa diinfo lengkap wilayah semarang kemana ya daftar vaksin gotong royong,Positif
playonbae,emang boleh min klo kita lagi di vaksin post di sosmed?,Netral
lasmi_rahmat,Saya Belum Vaksin.. masih Menunggu pemberitahuan RT setempat,Negatif
oktavia_paulina,"Sy usia 50 okt ini dan blm dpt vaksin , domisili bsd tangsel .. kapan bs divaksin nya kami ? Smg segera yaa??",Negatif
hendraaa30,"Kapan sampe ke daerah vaksin gotong royong nya min , lebih cepat lebih baik ??",Positif
kedaiciomy_surabaya,Vaksin buat masyarakat usia 59th kebawah kapan paaakkkk mentri  @kemenkes_ri  cc @dinkesjatim cc  @sehatsurabayaku,Positif
heytharilest,"alhamdulillah sudah vaksin ,dan tdk ada keluhan sama sekali ??",Positif
hen_njun,vaksin yang digunakan untuk vaksinasi gotong royong apa min @kemenkes_ri ? sinovac / asthrazeneca?,Netral
aalatippa,Vaksin Gotong Royong masih belum jelas pelaksanaannya untuk luar DKI. Saya ikut zoom meeting minggu lalu dengan Apindo dan Kadin.,Negatif
aviimard,Jenis vaksinnya apa aja jdinya min? Mhn bs dishare...,Netral
simple_mikee,"Buat yg gak mau di vaksin , cukup diam dan minggir aja. masih banyak orang yg mau , biar jatah nya buat mereka aja. Dablek jangan ngajak2",Positif
anisadilakusumawati,Mohon infonya utk vaksinasi pra lansia apakah sudah ada pendataan? Terima kasih,Positif
kemenkes_ri,"Kemenkes mulai melakukan vaksinasi bagi kelompok penyandang disabilitas baik fisik maupun psikis pada Selasa (1/6) serentak di seluruh Indonesia.Kegiatan vaksinasi bagi penyandang disabilitas ini bisa dilayani di seluruh fasilitas kesehatan/sentra vaksinasi manapun dan tidak terbatas pada alamat domisili KTP.Jika kamu memiliki anggota keluarga penyandang disabilitas, yuk bantu dan dampingi mereka untuk mendapatkan vaksinasi COVID-19 di faskes maupun sentra vaksinasi terdekat di kotamu ya #Healthies. Salam sehat!",Positif
dapid23suhendra,Mahasiswa yang merantau ngga diurusin nih kapan dapet vaksin,Negatif
sofiasofia6719,"Wong Ra waras divaksin sek, harusnya yg karyawan swasta diduluin",Negatif
rochmat_suwardi,Maaf..mau bertanya..kalau punya gejala penyakit jantung...apakah boleh di vaksin ?,Netral
hansouw,Jadwal vaksin kapan lagi pak?? Saya sampai skrg blm divaksin.,Positif
taufan_bagoes,"Usul kepada @kemenkes_ri , utk mengatasi pandemi ini prlu gotong royong antara penyintas dan pasien, bisakah dari pemangku kebijakan menyusun usulan pendataan wajib bagi setiap yg sudah sembuh di setiap rumah sakit rujukan covid seluruh indonesia, jadi sewaktu dbutuhkan oleh pasien yg mbutuhkan . Penyintas tsb brsedia mndonorkan plasma covalen pada pasien yg mbutuhkan ... mohon dibuatkan aturan dan kewajiban trkait tsb sehingga selain vaksin dan 3M kita gotong royong bisa menyelesaikan Pandemi ini... #gerakandonorplasmakovalen",Positif
imhaedsel,Update ibu menyusui dan hamil sudah boleh vaksin belum @kemenkes_ri,Netral
kohar.insta,"Tolong dipercepat lah program Vaksinasi kita..Gak usah terlalu lama berkutat sama orang2 yang tidak mau divaksin..Skip saja..Yg mau vaksin lbh bnyk bs didahulukan..Dan gak perlu pakai acara2 upload2 KTP, Surat Domisili, dsb..Konteks emergency toh kan..Lalu 1 kelompok yg sudah divaksin menyusul keluarga intinya..Jd gak perlu lagi daftar berulang kali dlm 1 rumah yg sama",Positif
erasugianto,"mau tanyak, klo karyawan di Rumah sakit tergolong nakes pada saat vaksin.saat insentif nakes keluar apakah karyawan rumah sakit dapat insentif semua?",Netral
omgtorri,@kemenkes_ri minta saya wna kalo kitas gak bisa pada vaksinasi di jakarta ...kenapa ?Gak ada NIK tidak bisa ? paspor dan kitas gak bisa,Netral
andrianoktapratama,Pak menteri mau nanya kalo misalkan aku dan kantor ku butuh vaksin cepat apa bisa kantor ku dijadwal kan vaksin nya lebih dahulu karna kami sangat semangat untuk divaksin pak menteri????????,Positif
lina_patria,"Min mau tny,,apakah untuk ibu menyusui aman untuk vaksin ?? Dan vaksin merk apa yg aman untuk ibu menyusui...mohon dijwb iya min...tau nitizen yg baik hati boleh dibantu..trm ksh",Positif
raatnaa3,Pak mentri vaksin covid jalan.. tp vaksin buat bayi balita jgn trus dikurangi.. sedih.. stok vaksin dipuskesmas2 pentabio dan MR kosong sudah 5 bulan.. sedihhh.. kasin bayi balitanya pd g imunisasi mundur semua????????,Netral
huzairi_achmad,Mencla nencle..seperti gagal fokus...mana urutan skala prioritas pemberian vaksin ini..bingung euy..,Negatif
atasil_cute,Pak mentri .. tolong di prioritas vaksin untuk supir & kernet trailer beserta para admin nya. Terima kasih,Positif
eniyuliani3,Tolong d jwb pak...ada org yg bilang stlh d vaksin itu ada chip nya dan dg d tempelin uang logam 1000an itu dg pembuktian klo itu ada chip nya...saya capek jelasin sm masyarakat spt itu dan itu terjadi juga d keluarga kakak kandung saya sendiri..please tolong penjelasan n dgn sangat berharap d jwb.@kemenkes_ri ????.????,Negatif
ira.kusuma82,Di sidoarjo puskesmasnya kehabisan vaksin 1 sehingga tidak diterima ketika vaksin,Negatif
hartadijoss,Sy kerja sebagai marketing alkes keluar masuk rumah sakit kira kira sy berhak dapat vaksin gk...sudah coba ikut lewat gakeslab dari awal tahun tpi belum realisasi...gk tau dapat vaksin apa gk...,Positif
ruth.alexandria,"Ini ig kemenkes hanya aktif posting kah? Atau aktif juga kah dalam menganggapi keresahan masyarkat perihal vaksin?! Bismillah aja deh mudah2an dibaca dan ditanggapi.... min... adakah syarat bagi penyelenggara vaksin pihak swasta, agar pihak swasta mendapatkan kuota vaksin untuk karyawanya? Misal haruskah terpenuhi sekian persen kuotanya untuk umum dlaam hal ini LANSIA, sisanya untuk internal baru akan diijinkan atau diberikan jatah kuota vaksin?!? Atau yg penting bayar buka untuk umum (LANSIA) adalah kemurahan hati perusahaan sj?!? Adakah pengawasan dari pihak kemenkes perihal tingkat keberhasilan pelaksanaanya oleh kemenkes?? Terimakasih...",Positif
kohar.insta,Menurut saya kelamaan program Vaksinasi kita. Terlalu bertele2 di soal Administrasi dsb.. Bnyk yg mau tp terkendala ini dan itu,Negatif
godeltobing,"Pak Menteri, logistic ini ya dari awal pandemi menjadi ujung tombak ekonomi, kita tetap harus kerja apapun yg terjadi, tapi boro2 dilirik utk vaksin, sopir2 ngemis2 utk divaksin di puskes katanya belom giliran melulu.",Netral
alenk_bambang_pramono,Kita yg usia produktif gimana nih... Setiap hari di luar bekerja... Tapi urutan vaksinnya berubah ubah dari lansia sebelum lebaran.. Seharusnya kita yg usia produktif dapat di jadwalkan sekarang.. @kemenkes_ri  tolong yg usia produktif sekarang mulai di perbolehkan vaksin... Saya berkali kali ke puskesmas hanya mendapat jawaban belum bisa... Terus kapan?,Positif
yuliana.nganro,"Min minta info dong, ibuku lansia 67 thn saat ini belum divaksin, pengadaan vaksin lansia saat ini diadain dmn utk Jakarta Selatan??",Positif
rasyaaurelia18,Masih perlu di lanjukah vaksinasi ini,Negatif
banana_milk88,"Bapak YTH untuk usia produktif masyarakat umum dari umur 18 sd 59 tahun kapan di laksanakan, rasa nya kami belum ada informasi kapan di adakan jadwal untuk vaksin.",Positif
sssinaa_,"ODGJ umunya komorbidnya banyak, kok malah di vaksin ??",Negatif
alvi.an162,Semoga programnya tepat sasaran ya pak tidak seperti berita2 vaksin jatah napi di perjual belikan ??,Negatif
littlemiss_eleanor88,"Makassar vaksinasinya mantap. Nakes, pekerja publik, lansia, dan umum juga pada udah vaksin meskipun belum semua kali tapi ... yg jadi masalah ... banyak juga yg gag mau prokes krn masih anggap corona gag ada ...",Positif
littlemiss_eleanor88,Yang Waras divaksin demam ... sakit persendian ... ruam gatal gatal ... ya ... siapa tau yang ODGJ jadi sembuh ... #justkiddinglho ...,Negatif
huzairi_achmad,Apa kurang fokus kah skla pemberian vaksin.  Kadang bingung dengan kebijakan pemerintah..dulu katanya semua vaksin gratis. Eh sekarang ada vaksin berbayar (gotong royong),Negatif
simple_mikee,Ditunggu janji nya 1 juta vaksinasi per hari Pak @budigsadikin .. karena percuma kalau punya stok vaksin siap pakai 60-65juta tapi sudah 5 bulan yang disalurkan 1/2 nya saja belum.,Negatif
dimaz_permana028,Gw aja yg waras gak di kasih vaksin sih wkwk @kemenkes_ri,Negatif
monomezurashii,"Untuk daerah bandung, sentra vaksinasi yang sudah menerima kelompok penyandang disabilitas di mana ya? @kemenkes_ri @dinkeskotabdg",Positif
gangsar_kencono,Laa wong saya dan para tetangga wae blom divaksin samaskali kokkk WONG EDAN arep di paksin...??????????,Negatif
ferli_fadli,"Min, sy sudah vaksin ke 2 tgl 30 Mei 2021 di Istora Senayan tp knp blm dpt sertifikatnya di apk Pedulilindungi ....?",Positif
gugunikok,Termasuk @mimi.peri ini perlu di vaksin yak pak @kemenkes_ri ??,Positif
kristantigulo,Yg di utamakan itu yg normal dulu usia produktif lah 18-59th pak.. ?? hadeeuuhh.. gmn toh pak @jokowi ? Pemetaan skala prioritasnya aneh pak.. ??org normal usia produktif dulu di vaksin biar bisa melindungi org2 yg ada comorbid dan gak bisa terima vaksin.. ?? cape dah.. ??????,Negatif
wahidh68,"Orang disabilitas masih ada yg berguna, jangan dibunuhin . Mereka masih layak hidup #MaskerDanVaksinMembunuhmu.",Negatif
roti_ragut,"@kemenkes_ri orang tua saya sudah vaksin di gelora bung karno bulan kemarin, tanggal 8 disuruh kembali.. Tetapi sampai sekarang mengapa tidak ada sms dan saya tadi coba untuk ke gelora bung karno tetapi sudah tidak ada.. Untuk vaksin kedua orang tua saya dimana yah?",Positif
bayupinama,Yang waras aja masih belum di vaksin uy,Negatif
adji_widiantoro02,sebelumnya saya minta maav pak @budi.gunadi.sadikin .. untuk istri atau suami nakes yang bekerja di rumah sakit apakah bisa diberikan vaksin terlebih dahulu... terima kasih,Positif
marwandidiet,"Sy umur 40thn, pengangguran, sampai skrg belum ada pemberitahuan untuk di vaksin,, miris @kemenkes_ri @satgascovid19.id",Negatif
husadanikun,"Orang gila tidak mungkin menolak vaksin, dia tdk tahu apa yg akan dimasukan ke dalam tubuhnya dan bsa berdampak apa, dan orang dgn gangguan jiwa adl orang yg paling merdeka sedunia, karena hidupnya tdk terikat oleh sistem, dan tdk pernah ada satupun orang gila meninggal karena covid, jd jika kita memang org waras kenapa kita kalah oleh mereka dlm hal menghadapi covid ?",Negatif
madina.monica,Min ibu saya umur 50thn++ tinggal di kabupaten bandung tp belum ada panggilan utk vaksin,Netral
aventusmanik,"Di daerah lain vaksinasi buat pekerja dan pelayanan publik sudah ada ,kok di Bekasi gak ada",Negatif
neng_cyang123,Pak bnyak guru yg tidak mau divaksin pak??,Negatif
angelaairenaa,Apa benar vaksin astra zeneca tidak boleh untuk umur dibawah 30thn?,Netral
vania_felice17,"Saya sudah dpt e-tiket untuk vaksin, tapi sampai sekarang masih belum di vaksin dengan alasan keterbatasan vaksin @kemenkes_ri",Positif
kemenkes_ri,"#Healthies pasti bertanya tanya kenapa orang yang sudah divaksin kok malah positif COVID-19?Ingat #healthies, Vaksin COVID-19 membutuhkan dua kali dosis penyuntikan & butuh waktu satu bulan untuk menciptakan kekebalan yang efektif bagi tubuh. Jadi pastikan setelah divaksin tetap disiplin prokes 3M ya. Salam sehat!",Positif
fenny_venny,Mohon selalu update diberitakan orang2 yg udah vaksin 2x tapi tetap meninggal akibat covid agar masyarakat yg telah divaksin tidak euforia berlebihan dan tetap taat prokes agar tidak merugikan orang lain yang belum bisa divaksin.,Negatif
nuraenifurkon,"Suami vaksin brengan pak jokowi sudah lama kan ya , tapi ttep aja positif dan gejalanya ttep berat",Negatif
yudistira_vvip,"Setuju banget. Vaksin tidak menjamin bahwa kita pasti kebal 100%. Jadi, harus tetap harus prokes dan ngga boleh lengah karena musuh kita virus... tidak nampak... seperti hantu. Hihihi ??",Negatif
panti_tinja,Kualitas vaksin nya di pertanyakan sih......kalo menurut saya.......,Negatif
rasyidhw,"Lah kan emang vaksin gak melindungi dari positif covid ?? Namanya vaksin itu untuk mencegah biar ketika virusnya masuk lagi ke tubuh, gak menimbulkan gejala yang parah dibandingkan belum pernah vaksin",Positif
deny.sutanto,Vaksin lagi vaksin lagi. Coronanya ga hilang2. Pak polisi jd bingung. Org2 ikut bingung,Negatif
uncle.lie,"Perlukah Test antibodi untuk mengetahui berapa nilai nya setelah vaksin ke 2 dan , paling ideal test nya berapa lama setelah di vaksin , tks",Netral
agussalim157,"Saya sudah di vaksin 2x. Pertama maret lalu yg kedua april.  Seharus nya sudah aman. Tapi ingat.. jangan terlalu uforia karna sudah vaksin 2x. Karna ternyata,saya masih bisa terpapar covid 19. Loh kok bisa...?? Tentu bisa. Padahal saya sudah laksanakan prokes. Kemana2 pakai masker,selalu cuci tangan,menghindari kerumunan,,pokok nya prosedur ditaati.. Ternyata selain Vaksin, patuh PROKES.. ada hal lain yg harus kita laksanakan.. menjaga tubuh agar tetap fit. Istirahat cukup, olahraga dan makan makanan sehat.  Saya terserang covid pada saat kondisi tubuh saya drop karna kurang istirahat dan mangabaikan pola makan.  Jadi... Semoga pengalaman saya ini bisa menjadi pelajaran berharga. Paling tidak untuk diri saya.",Positif
vickypriyani,"Berarti sebulan setelah vaksin kebal min? Mohon maaf konfirmasi aja dari pernyataan di atas, agak ambigu",Netral
husnindo,Ga ngaruh... Sdh 2 kali vaksin tetap tertular,Negatif
simple_mikee,"Vaksin + terus disiplin 3M , Supaya keadaan segera membaik. Sehat selalu semua nya ??",Positif
arnold_simanjuntak_libra,Min ibu menyusui itu bisa kah di vaksin?,Netral
bram5475,Trus ngpain divaksin klo hasilnya tetep mutasi virusnya tmbh kuat virus itu TDK bsa dimusnahkan tpi hnya dilemahkan harus nya antibodi kita yg ditingkatkan bukan vaksinasi yg digalak kan,Negatif
ti.ka2039,Apakah ada efek samping setelah di vaksin? Apakah benar ada kandungan B2 nya? Vaksinnya yg bagus apa? AZ atau sinovac? Saya blm di vaksin karena masih takut,Negatif
agnes_wongshu,Mungkin tertular sebelum divaksin... tapi bukannya dicek n periksa diswab atau rapid sebelum divaksin..???,Negatif
dhea_4u,"Temen² NAKES Paling pertama di vaksin, tapi banyak yang tumbang di bulan juni ini, jawab kenapa? apa mau alesan ada virus varian delta? untuk mengalihkn opini keefektipan vaksin sinovac? apa gunanya coba please jelasin @kemenkes_ri",Negatif
hr23803,Lebih baik ga usah di vaksin,Negatif
rainmeterr,lama banget vaksin buat under 50... keburu males nungguin.,Negatif
ronggolawe344,"Gk ngaruh vaksin pun msih ttep kena ,tp berhbung ngri konoha sdh borong vaksin mau gk mau ya dikemas abcd  biar warganya mau disuntik ,masak mau disuntikkan ke ayam2 biar gk kena covid.",Negatif
linaistii,Virusnya bermutasi terus apa Vaksin yg ada skr mampu untuk virus Corona lain yg bermutasi,Negatif
jonkum007,"Jawabannya sangat cari aman dan gak ilmiah sekali. Jawaban yg tepat adalah vaksin yg diberikan kepada kita di indo adalah tingkatan vaksin paling rendah efektivisannya dibanding eropa punya. Jadi mangkanya bisa terpapar lagi~ maklum vaksin buatan cina soalnya, jadi dibuat untuk cuan",Negatif
andiapnm,sales vaksin sales vaksin,Negatif
the_tendrians,Kenapa tidak ada info soal orang2 yg sudah divaksin 2x tp masih ttp bisa kena covid? Bahkan meninggal?,Negatif
marianschober,"Klo udah di vaksinasi 2x terus hasil tes PCR negatif, masih harus di karantina 5 hri juga kah @kemenkes_ri??",Positif
cok___njaran,nyalahin yang punya badan udah terpapar sebelom di vaksin ?? ngakak,Negatif
azhie_brownis,"Jadi vaksin cuma untuk, orang yang terkena tidak berat ya? Gitu ya vaksin beda sama vaksin yang dulu2 ya,",Negatif
uncle.lie,"Berapa lama anti bodi terbentuk setelah Vaksin ke 2 , Tks",Netral
hansdp86,"Pencitraan,jeda waktu 30 hari sesudah 2x vaksin,lalu positif,benerin dulu vaksin nya",Negatif
kanyakannnn,Min lagi hamil boleh divaksin astrazaneca?,Netral
nadira_dhamar,saya pingin vaksin tpi gak tau kmna klo vaksin mandiri harus bayar kah?,Positif
moeluya155,Sebenernya saya paengen di vaksin. Tapi saya fobia sama jarum suntik gman y???????,Negatif
bravin.liow,"Adek gue baru vaksin pertama dr kntrnya, eh jeda 1 bln udh g krja dsitu & g bs dpt vaksin kedua, semoga imun tbuhny kuat, liat feed ini jd mkin ati2, nnti vaksin lg dh pke vaksin nusantara.. ???? gue jg lah biar udh 2x vaksin, terus kita vaksin y smpai stok vaksinnyny empty, eh ?? maap ??",Positif
aliefchaphoerach,Soal mya yg saya liat yg banyak di jelas kan tu harga vaksin nya doang  kalau komposisi nya sangat  jarang  mnrt saya,Netral
elvinopongsapan,Apakah setelah 2x vaksin nantinya ada rentang waktu hrs vaksin lagi?,Netral
iwankomala,Vaksin AZ pertama butuh berapa lama untuk membangun imun di tubuh ??,Positif
jeanetsie,"Mau nanya donk, knp kl vaksin pake KTP luar jakarta hrs pake srt domisili. Mana ngurus nya ribet banget..mau vaksin jd males dg prosedur yg tetekbe.gk",Negatif
suroto_putra_perwira,Apakah belum ada laporan mereka yg sudah vaksin 2 kali terpapar covid varian delta ??? Bagaimana gejalanya ??,Negatif
indahistiqomah15,Yang vaksin pakai masker yang covid ngak pakai masker??,Negatif
aliefchaphoerach,Trus gunanya vaksin apaan..hahhh,Negatif
sofiasitisy,"Butuh info lengkap lagi ttg orang yg sudah vaksin tp malah meninggal setelah divaksin. Bukan nyalahin vaksinnya. Tapi kriteria yg kaya gimana yg harusnya aman buat divaksin? Untuk orang2 yg punya diabetes atau hipertensi atau penyakit lainnya gimana? Pas waktu screening langsung di acc, ditunggu kesehatan membaik apa ditolak untuk vaksinasinya? Masih banyak yg takut soal ini dan butuh info lebih lengkap lagi biar kita semua lebih percaya untuk di vaksinasi",Negatif
shinje2,"Covid 19 kan ( batuk, pilek, flu) jadi mau segimana di vaksin pun akan tetap ada covid 19 (corona) sampe situ paham?",Negatif
4nniewong,Mau tanya klo selesai vaksin gak dikirim sertifikat vaksinasi harus minta ke mana ya Thx.,Positif
miniature.barongan,?????? trus vaksin faedah nya apa?,Negatif
ahmadlevine13,Tolak Vaksin,Negatif
huzairi_achmad,"Minta divaksin karena ingin cepat ""bebas"" dari benda yang namanya ""masker""... Capek bangettt..",Positif
the_real_factchecker,"Vaksin ga guna kan. Uda di vaksin, uda engap sering oake masker, ujung-ujungnya kena suntik vaksin lagi. Eh malah berpulang ke rahmatullah.",Negatif
husadanikun,"Yg sudah di vaksin dua kali bsa positif covid? Yg tdk di vaksin seperti sy yg berinteraksi di luar seperti biasa dan tdk menggunakan masker seperti sy negatif covid, jd bagaimana @kemenkes_ri ? Bsa beri sy teori yg bagus di sertai fakta?",Negatif
ahmadlevine13,"Mau aja dijadiin kelinci percobaan, Kompak Tolak vaksin",Negatif
globalvisionintermedia,Tetep prokes meskipun udah vaksin ??,Positif
bagustee,"Karna vaksin gak tau harus bagaimana, virus apa yg harus dimusnahkan.. ?? ibtinya mah hayuuu ngutang lagi 6000T",Negatif
trisnawidjaya,"Betul. Wlpun uda d vaksin, ttep protokol kshatan gk di sepelein. Trkdang org2 yg uda d vaksin pd mikir ""oh gua uda d vaksin, ampuh lah longgar2 dkit"". Kena lah dia pd akhirnya. Mau ngomong apa??? ??. Vaksin itu bkn jimat yg bs lindungin kita 100%. Tp membantu kita kalo sampai amit2 kena, gk separah yg di bayangkan. Tp ttep gk blh nyepelein covid. Mentang2 virus gk klihatan, jd masa bodo, itu namanya bodoh sendiri. Be smart people ??",Positif
isroalfiah_iszi,"@kemenkes_ri apakah vaksin aman untuk bumil? Kbrnya gk jls, yg sy dengar ada yg blg aman ada yg blg tdk.",Netral
efhhandayani25,"Saya pun sudah vaksin, saat vaksin keadaan sehat dan bugar. Skrng gejalanya sedang, gk enak bgt. Udh patuhi Prokes pun. Mhon tindak lanjuti wahai negri ini",Negatif
handryyoga,"Halo, Kapan jadwal vaksinasi tuk Kodya Bogor? Saya sbg Pengajar Yoga menunggu kabar baiknya ??????",Positif
syifa.hasya.hasymi,"Di vaksin bulan februari, bulan Juni kena covid dan parah ..dah lebih dari sebulan kan..gimana tuh",Negatif
adikartikop,"6 dari 10 orang yg sudah vaksin di sektiar saya positif, setlah 1 bulan lebih vaksin. Dan meraka sering 3m.  Apa ini varian baru?knp kasus nya makin serem ya sekarang?",Negatif
dvdevina,Sorry oot...knp tokoh perempuannya sll gelap amat yg laki2 cerah tuh ??...yuk vaksin n jaga prokes 5M yuukkk,Positif
wiranugraha88,Vaksin hanya lah virus yang dijinakkan.  Justru pembentukan antibodi terhadap virus yang dijinakkan itu membutuhkan waktu yang lama.. bahaya baru bagi mereka yang sudah divaksin adalah potensi bagi pembawa virus jinak itu untuk menularkan virus kepada orang yang tidak divaksin.,Negatif
nofiahendry,Bagaimana dg mutasi virus?? Apakah vaksin yg sama masih efektif?!? #beranijujur #jujurlahwalaulangitakanruntuh,Negatif
sixmondedi,Bisnis vaksin,Negatif
soaringbee,"Vaksin covid TIDAK mencegah badan terpapar virus. Vaksin covid hanya memberikan antibodi supaya jika terpapar, badan kita bisa melawan dan tidak symptoms yang parah. Tapi Kita tetap bisa menjadi carrier covid.",Positif
yenieyenies,Pak vaksin sinovac kapan ya ada lagi?,Positif
maharani_fitria_rahmah,Jarak vaksin 1&2 emang ketentuannya segitu ya? Apa emang boleh diperpendek atau di perpanjang jaraknya?,Netral
jomblo7,Waduh sama aja donk divaksin sama gak divaksin..,Negatif
princess_euxophxai,Emang butuh wktu berapa lama vaksin membentuk antibodi? Berbulan bulan ya?,Netral
ithriaaa,"Haha lucu, abis vaksin malah kena covid gaguna ternyata gue vaksin",Negatif
evaaasitinjak_15,"@aurelia.graciella cocok ga cocok tu vaksin tetap aja harus gitu yak walau ada yg mati atau lumpuh ntar???? kok jd dipaksa bngt sekarang giliran ada yg mati ga mau tanggung jwb blngnya krn sakit bawaan, giliran ada yg mati krn sakit bawaan atau sakit lainnya selalu di vonis corona???? aneh ya",Negatif
eva_n30,Saya vaksin bulan Maret sudah dua kali dosis tp bulan Juni ini saya positif. Cuma mau ingetin meskipun udah vaksin atau belum tetap menerapkan protokol kesehatan ya karena sangat penting  dimasa pandemi sekarang ini. Semoga sehat selalu ??,Positif
rodex_elshaarawy,Kenapa No NIK saya Bisa Digunakan Orang Laen Untuk vaksin?.... Pas saya mau vaksin kaga bisa NiK sudah digunakan Orang Laen... @kemenkes_ri,Negatif
listiarimanurung,"Apa benar didalam vaksin terdapat chipnya? Mohon info, agar tidak ambigu, dijelaskan juga ke masyarakat",Negatif
azazelhelvete,"Seriusan ini postingan ga jelas. Sama sekali ga menjawab pertanyaan kenapa setelah vaksin masih bisa kena covid19? Malah ngelantur kalo vaksin butuh dua tahan dan sebulan buat membangun kekebalan tubuh. Lah lucu. Harusnya kasih penjelasan, bukan postingan ambigu macam ini.",Negatif
ekhjiwoon6767,Oh berarti setelah divaksin kt hrs dudiplin menjaga kesehatan selama 30 hari ya min?,Positif
yoganie_fashion,"Saya sudah di vaksin tahap ke 2 dan finish,tapi Alloh berkata lain,3 hari yang lalu saya terkena covid,padahal 3 hari sebelum saya melakukan test pcr saya melakukan antigen dan hasilnya negatif,lalu dari tempat saya tetap di lakukan isolasi,terus harus di adakan test pcr lagi,lalu kenapa hasilnya positif,padahal selama isolasi saya tidak bertemu siapapun.",Negatif
seo.id.official,"Meskinpun sudah vaksin, namun tetap menjalankan protokol kesehatan. Semoga wabah ini cepat selesai dan normal kembali @kemenkes_ri Amin ??",Positif
ygxprs,Terus buat apa vaksin kalo masih 3M? Engap cok kita butuh oksigen.,Negatif
riche_syafitri,Bapak mertua aku habis vaksin tulang punggung terasa sakit katanya apa itu termasuk efek atau gimana ya,Negatif
donna_francy,Bknnya kl abis vaksin kl tes hsl nya emg positif??,Negatif
agungsabar5,"La iyalah  seharusnya sblm divaksin, diswab dulu, jgn2 ada virus covidnya. dan virus itu udh aktif duluan sblm vaksin. mknya ssdh divaksin, msh trinfeksi. artinya, mmg virus itu sdh ada sblm divaksin. dan u",Netral
agungsabar5,"dan inget ya fungsi Vaksin spy mncegah virus masuk k tubuh. bukan memberantas virus yg sdh Lama hinggap di tubuh. kalo yg sfh Lama hinggap di tubuh, ya OBAT Covid brantas itu virus. bkn vaksin. msyrkt sering salah paham antara fungsi vaksin & obat. makanya, swab & tracing dulu sblm divaksin. biar ktauan ada virus gak yg udh Lama menclok di tubuh !!",Positif
umine_sahura,"Oke, itu yg br divaksin kena covid mgkn tertular sebelum vaksin. Nah.. ini sdh 3 bln vaksinasi malah sdh mulai satu satu temen dinyatakan positif covid. Kok bisa ya.. apa memang hanya mampu melindungi tubuh selama 3 bln saja?",Negatif
simple_mikee,"Edukasi juga min. Abis vaksin itu kekebalan gak langsung terbentuk. tapi kekebalan maksimal baru terbentuk 1 bulan setelah vaksin dosis ke 2. Itu pun tetep masih ada potensi terpapar , jadi lebih bijak untuk tetep disiplin prokes. Soal nya banyak yg padahal baru vaksin dosis 1 aja udah abai sama prokes dan berpikir abis vaksin lgsg instan kekebalan nya ??",Positif
azzamiman,"Efek vaksin AZ yang sudah aku rasakan ngantuk, pegal lengan dan kaki, BAB mulu jadi sering lapar, demam juga",Negatif
sabrinagrcl,"Oke yg ini dimengerti min, tp bagaimana kasus utk orang yang yang sudah divaksin kemudian beberapa bulan lagi dinyatakan positif? Ditempat kerja saya cukup banyak yang didapati seperti itu.",Negatif
m.rizaldisatyap,Kalau ada orang yang di suntik vaksin beda merk pertama dan kedua yang bertanya bahaya enggk buat tubuh ?,Netral
qasimhaneen25,"Salam sehat tanpa vaksin, ??????",Negatif
